zpid,address,city,state,zip,sqft,baths,beds,lat,lng,rent,zrent,url,description,days_on_zillow,contacts
2055085814,"Redwood Portage, 1201 Snowapple Ave #7770H, Portage, MI 49002",Portage,MI,49002,1343,2,2,42.204433,-85.57468,1899,2148,https://www.zillow.com/apartments/portage-mi/redwood-portage/CHGc8N/,"Redwood Portage is where you'll find the single-story apartment you've been looking for. Live in a two-bedroom, two-bathroom, pet-friendly apartment rental home with an attached garage. Enjoy being surrounded by charming greenery, with all the amenities you could need just a stones throw away. Plus, you can get to the arts, entertainment, dining and attractions of Kalamazoo in under 30 minutes. But more than that, you can feel at home in a neighborhood atmosphere where life is quiet and friendly. Won't you join us?",2,
2078323676,"Redwood Lake Orion, 3331 Towne Park Dr #41, Lake Orion, MI 48359",Lake Orion,MI,48359,1294,2,2,42.72686,-83.30865,1999,2064,https://www.zillow.com/apartments/lake-orion-mi/redwood-lake-orion/639KxK/,"Redwood Lake Orion is where you'll find the single-story apartment you've been looking for. Live in a two-bedroom, two-bathroom, pet-friendly home with an attached garage. Enjoy being surrounded by charming green spaces, with all the amenities of the Lake Orion community just a stone's throw away. You can even get to the hustle and bustle of Detroit and its suburbs in under 45 minutes. But more than that, you can feel at home in a neighborhood atmosphere where life is quiet and friendly. Won't you join us? Redwood is an Equal Housing Provider.",,
42.755455--84.669586,"8156 Roslyn Hl, Lansing, MI",Lansing,MI,48917,,,2,42.755455,-84.669586,1,,https://www.zillow.com/apartments/lansing-mi/redwood-delta-township/B8WtXy/,"Redwood Delta Township is where you'll find the single-story apartment you've been looking for. Live in a two-bedroom, two-bathroom, pet-friendly home with an attached garage. Enjoy being surrounded by charming greenery, with easy access to I-96 and all the amenities of the Delta Township community just a stone's throw away. You can even get to the hustle and bustle of Lansing in 15 minutes. But more than that, you can feel at home in a neighborhood atmosphere where life is quiet and friendly. Won't you join us?Redwood is an Equal Housing Provider.",,
83616194,"25176 Lehner St, Roseville, MI 48066",Roseville,MI,48066,1000,1,3,42.481342,-82.96165,1950,1400,https://www.zillow.com/homedetails/25176-Lehner-St-Roseville-MI-48066/83616194_zpid/,,9,
42.62596--83.87602,"1744 Ella Ln, Howell, MI",Howell,MI,48843,,,2,42.62596,-83.87602,1,,https://www.zillow.com/apartments/howell-mi/redwood-howell/63f2Nq/,"Redwood Howell is where you'll find the single-story apartment you've been looking for. Live in a two-bedroom, two-bathroom, pet-friendly home with an attached garage. Enjoy being tucked away from the noise among charming greenery, with all the amenities of the Howell community just a stone's throw away. You can even get to the hustle and bustle of Ann Arbor in just 30 minutes. But more than that, you can feel at home in a neighborhood atmosphere where life is quiet and friendly. Won't you join us?Redwood is an Equal Housing Provider.",,
42.331738--85.504776,"4895 Red Willow Trl, Kalamazoo, MI",Kalamazoo,MI,49048,,,2,42.331738,-85.504776,1,,https://www.zillow.com/apartments/kalamazoo-mi/redwood-comstock-township/CZG7QJ/,"Redwood Comstock Township is where you'll find the single-story apartment you've been looking for. Live in a two-bedroom, two-bathroom, pet-friendly apartment rental home with an attached garage. Enjoy being surrounded by charming greenery, with all the amenities you could need just a stones throw away. Plus, you can get to the arts, entertainment, dining and attractions of Kalamazoo in 15 minutes. But more than that, you can feel at home in a neighborhood atmosphere where life is quiet and friendly.",,
88286954,"11846 Beaconsfield Ave, Detroit, MI 48224",Detroit,MI,48224,1038,1,3,42.42901,-82.9417,1300,1300,https://www.zillow.com/homedetails/11846-Beaconsfield-Ave-Detroit-MI-48224/88286954_zpid/,,7,
42.97368--85.753395,"500 Savannah Dr, Grand Rapids, MI",Grand Rapids,MI,49534,,,1,42.97368,-85.753395,1,,https://www.zillow.com/apartments/grand-rapids-mi/savannah-at-waterford-village/Ccwkjn/,"Welcome to the brand-new Savannah at Waterford Village, a contemporary living community in Grand Rapids, MI. Our thoughtfully designed community includes luxury rental homes with various single-story 1, 2, and 3-bedroom residences catering to your elevated lifestyle needs. Residents can indulge in the sleek elegance and in-home conveniences of stainless-steel appliances, kitchen islands, an in-home washer/dryer, wood-style luxury vinyl plank flooring, plush bedroom carpeting, walk-in closets, and a private patio. Discover modern living at its finest with countless community amenities, including a clubhouse with a grilling station, an outdoor fireside lounge, a 24-hour fitness center, a private direct access 2-car garage, walking trails, and more. Contact our professional leasing team today to reserve your new address at Savannah at Waterford Village!",,
2053698203,"Redwood Delta Township Willow Highway, 7877 Celosia Dr #7812P, Lansing, MI 48917",Lansing,MI,48917,1317,2,2,42.755024,-84.66634,1999,2298,https://www.zillow.com/apartments/lansing-mi/redwood-delta-township-willow-highway/CHZGPc/,"Redwood Delta Township Willow Highway is where you'll find the single-story apartment you've been looking for. Live in a two-bedroom, two-bathroom, pet-friendly apartment rental home with an attached garage. Enjoy being surrounded by charming greenery, with all the amenities you could need just a stones throw away. Plus, you can get to the arts, entertainment, dining and attractions of Lansing in 15 minutes. But more than that, you can feel at home in a neighborhood atmosphere where life is quiet and friendly.",11,
42.59761--83.44842,"2649 Grove Cir, Commerce Township, MI",Commerce Township,MI,48382,,,2,42.59761,-83.44842,1,,https://www.zillow.com/apartments/commerce-township-mi/redwood-commerce-township/63f2Nk/,"Redwood Commerce Township is where you'll find the single-story apartment you've been looking for. Live in a two-bedroom, two-bathroom, pet-friendly home with an attached garage. Enjoy being tucked away into charming greenery, with the beauty of Union Lake and all the amenities of the Commerce Township community just a stone's throw away. You can even get to the hustle and bustle of Detroit or Ann Arbor in 45 minutes. But more than that, you can feel at home in a neighborhood atmosphere where life is quiet and friendly. Won't you join us?",,
